conditions,match,deviationAway,gabor,corrAns,trials
90,0.0,-4.0,86.0,left,1
0,1.0,0.0,0.0,up,2
45,0.0,-6.0,39.0,left,3
45,0.0,-4.0,41.0,left,4
0,0.0,-10.0,-10.0,left,5
45,0.0,2.0,47.0,right,6
135,0.0,-4.0,131.0,left,7
0,0.0,6.0,6.0,right,8
0,0.0,2.0,2.0,right,9
90,0.0,-4.0,86.0,left,10
45,0.0,8.0,53.0,right,11
45,0.0,6.0,51.0,right,12
45,1.0,0.0,45.0,up,13
135,0.0,2.0,137.0,right,14
135,0.0,6.0,141.0,right,15
135,1.0,0.0,135.0,up,16
45,1.0,0.0,45.0,up,17
45,1.0,0.0,45.0,up,18
0,0.0,-8.0,-8.0,left,19
0,1.0,0.0,0.0,up,20
90,0.0,-10.0,80.0,left,21
135,0.0,2.0,137.0,right,22
0,0.0,-4.0,-4.0,left,23
90,0.0,6.0,96.0,right,24
0,1.0,0.0,0.0,up,25
135,0.0,4.0,139.0,right,26
90,0.0,10.0,100.0,right,27
0,0.0,6.0,6.0,right,28
90,0.0,4.0,94.0,right,29
0,0.0,6.0,6.0,right,30
135,0.0,10.0,145.0,right,31
0,1.0,0.0,0.0,up,32
135,0.0,-4.0,131.0,left,33
45,0.0,10.0,55.0,right,34
0,0.0,10.0,10.0,right,35
90,0.0,-4.0,86.0,left,36
135,0.0,-8.0,127.0,left,37
45,0.0,8.0,53.0,right,38
135,0.0,8.0,143.0,right,39
135,0.0,2.0,137.0,right,40
45,0.0,6.0,51.0,right,41
135,0.0,6.0,141.0,right,42
90,1.0,0.0,90.0,up,43
135,1.0,0.0,135.0,up,44
45,0.0,2.0,47.0,right,45
45,0.0,-2.0,43.0,left,46
0,1.0,0.0,0.0,up,47
45,1.0,0.0,45.0,up,48
90,0.0,8.0,98.0,right,49
45,0.0,-8.0,37.0,left,50
135,0.0,8.0,143.0,right,51
0,0.0,6.0,6.0,right,52
90,1.0,0.0,90.0,up,53
90,0.0,2.0,92.0,right,54
90,0.0,-8.0,82.0,left,55
135,1.0,0.0,135.0,up,56
45,0.0,-2.0,43.0,left,57
135,1.0,0.0,135.0,up,58
135,1.0,0.0,135.0,up,59
45,1.0,0.0,45.0,up,60
0,1.0,0.0,0.0,up,61
135,1.0,0.0,135.0,up,62
45,0.0,6.0,51.0,right,63
45,0.0,2.0,47.0,right,64
90,0.0,-8.0,82.0,left,65
45,1.0,0.0,45.0,up,66
135,1.0,0.0,135.0,up,67
135,0.0,-6.0,129.0,left,68
135,0.0,-4.0,131.0,left,69
90,1.0,0.0,90.0,up,70
90,0.0,8.0,98.0,right,71
90,1.0,0.0,90.0,up,72
135,0.0,4.0,139.0,right,73
90,1.0,0.0,90.0,up,74
45,0.0,6.0,51.0,right,75
45,0.0,10.0,55.0,right,76
90,0.0,-8.0,82.0,left,77
0,0.0,4.0,4.0,right,78
90,0.0,-10.0,80.0,left,79
135,0.0,-4.0,131.0,left,80
90,0.0,-4.0,86.0,left,81
0,0.0,10.0,10.0,right,82
135,0.0,8.0,143.0,right,83
90,1.0,0.0,90.0,up,84
90,0.0,4.0,94.0,right,85
135,0.0,-8.0,127.0,left,86
135,0.0,-6.0,129.0,left,87
135,1.0,0.0,135.0,up,88
90,1.0,0.0,90.0,up,89
0,0.0,8.0,8.0,right,90
45,0.0,-2.0,43.0,left,91
135,0.0,-4.0,131.0,left,92
45,1.0,0.0,45.0,up,93
90,0.0,-8.0,82.0,left,94
90,1.0,0.0,90.0,up,95
45,0.0,-10.0,35.0,left,96
0,0.0,-4.0,-4.0,left,97
0,0.0,2.0,2.0,right,98
90,1.0,0.0,90.0,up,99
135,1.0,0.0,135.0,up,100
135,0.0,-2.0,133.0,left,101
45,0.0,8.0,53.0,right,102
0,0.0,-4.0,-4.0,left,103
45,1.0,0.0,45.0,up,104
135,1.0,0.0,135.0,up,105
135,0.0,4.0,139.0,right,106
0,0.0,-4.0,-4.0,left,107
90,0.0,-2.0,88.0,left,108
0,1.0,0.0,0.0,up,109
0,0.0,-10.0,-10.0,left,110
0,0.0,-2.0,-2.0,left,111
45,1.0,0.0,45.0,up,112
135,1.0,0.0,135.0,up,113
0,0.0,8.0,8.0,right,114
90,0.0,-8.0,82.0,left,115
135,0.0,4.0,139.0,right,116
45,0.0,-10.0,35.0,left,117
135,1.0,0.0,135.0,up,118
135,0.0,-6.0,129.0,left,119
90,0.0,-4.0,86.0,left,120
0,0.0,-10.0,-10.0,left,121
90,0.0,4.0,94.0,right,122
0,0.0,2.0,2.0,right,123
90,0.0,-10.0,80.0,left,124
0,0.0,-4.0,-4.0,left,125
45,0.0,-10.0,35.0,left,126
135,1.0,0.0,135.0,up,127
135,1.0,0.0,135.0,up,128
135,0.0,-8.0,127.0,left,129
135,0.0,2.0,137.0,right,130
90,0.0,-2.0,88.0,left,131
