contrast,mask,gap_dur,orientation,spatial_freq,duration,corrAns
0.1,gauss,0.5,45,0.01,0.1,right
0.1,gauss,0.5,45,0.01,0.55,right
0.1,gauss,0.5,45,0.01,1.0,right
0.1,gauss,0.5,45,0.019999999999999997,0.1,right
0.1,gauss,0.5,45,0.019999999999999997,0.55,right
0.1,gauss,0.5,45,0.019999999999999997,1.0,right
0.1,gauss,0.5,45,0.03,0.1,right
0.1,gauss,0.5,45,0.03,0.55,right
0.1,gauss,0.5,45,0.03,1.0,right
0.1,gauss,0.5,46,0.01,0.1,right
0.1,gauss,0.5,46,0.01,0.55,right
0.1,gauss,0.5,46,0.01,1.0,right
0.1,gauss,0.5,46,0.019999999999999997,0.1,right
0.1,gauss,0.5,46,0.019999999999999997,0.55,right
0.1,gauss,0.5,46,0.019999999999999997,1.0,right
0.1,gauss,0.5,46,0.03,0.1,right
0.1,gauss,0.5,46,0.03,0.55,right
0.1,gauss,0.5,46,0.03,1.0,right
0.1,gauss,0.5,47,0.01,0.1,right
0.1,gauss,0.5,47,0.01,0.55,right
0.1,gauss,0.5,47,0.01,1.0,right
0.1,gauss,0.5,47,0.019999999999999997,0.1,right
0.1,gauss,0.5,47,0.019999999999999997,0.55,right
0.1,gauss,0.5,47,0.019999999999999997,1.0,right
0.1,gauss,0.5,47,0.03,0.1,right
0.1,gauss,0.5,47,0.03,0.55,right
0.1,gauss,0.5,47,0.03,1.0,right
0.1,gauss,0.5,48,0.01,0.1,right
0.1,gauss,0.5,48,0.01,0.55,right
0.1,gauss,0.5,48,0.01,1.0,right
0.1,gauss,0.5,48,0.019999999999999997,0.1,right
0.1,gauss,0.5,48,0.019999999999999997,0.55,right
0.1,gauss,0.5,48,0.019999999999999997,1.0,right
0.1,gauss,0.5,48,0.03,0.1,right
0.1,gauss,0.5,48,0.03,0.55,right
0.1,gauss,0.5,48,0.03,1.0,right
0.1,gauss,0.5,49,0.01,0.1,right
0.1,gauss,0.5,49,0.01,0.55,right
0.1,gauss,0.5,49,0.01,1.0,right
0.1,gauss,0.5,49,0.019999999999999997,0.1,right
0.1,gauss,0.5,49,0.019999999999999997,0.55,right
0.1,gauss,0.5,49,0.019999999999999997,1.0,right
0.1,gauss,0.5,49,0.03,0.1,right
0.1,gauss,0.5,49,0.03,0.55,right
0.1,gauss,0.5,49,0.03,1.0,right
0.1,gauss,0.5,50,0.01,0.1,right
0.1,gauss,0.5,50,0.01,0.55,right
0.1,gauss,0.5,50,0.01,1.0,right
0.1,gauss,0.5,50,0.019999999999999997,0.1,right
0.1,gauss,0.5,50,0.019999999999999997,0.55,right
0.1,gauss,0.5,50,0.019999999999999997,1.0,right
0.1,gauss,0.5,50,0.03,0.1,right
0.1,gauss,0.5,50,0.03,0.55,right
0.1,gauss,0.5,50,0.03,1.0,right
0.1,gauss,0.5,51,0.01,0.1,right
0.1,gauss,0.5,51,0.01,0.55,right
0.1,gauss,0.5,51,0.01,1.0,right
0.1,gauss,0.5,51,0.019999999999999997,0.1,right
0.1,gauss,0.5,51,0.019999999999999997,0.55,right
0.1,gauss,0.5,51,0.019999999999999997,1.0,right
0.1,gauss,0.5,51,0.03,0.1,right
0.1,gauss,0.5,51,0.03,0.55,right
0.1,gauss,0.5,51,0.03,1.0,right
0.1,gauss,0.5,52,0.01,0.1,right
0.1,gauss,0.5,52,0.01,0.55,right
0.1,gauss,0.5,52,0.01,1.0,right
0.1,gauss,0.5,52,0.019999999999999997,0.1,right
0.1,gauss,0.5,52,0.019999999999999997,0.55,right
0.1,gauss,0.5,52,0.019999999999999997,1.0,right
0.1,gauss,0.5,52,0.03,0.1,right
0.1,gauss,0.5,52,0.03,0.55,right
0.1,gauss,0.5,52,0.03,1.0,right
0.1,gauss,0.5,53,0.01,0.1,right
0.1,gauss,0.5,53,0.01,0.55,right
0.1,gauss,0.5,53,0.01,1.0,right
0.1,gauss,0.5,53,0.019999999999999997,0.1,right
0.1,gauss,0.5,53,0.019999999999999997,0.55,right
0.1,gauss,0.5,53,0.019999999999999997,1.0,right
0.1,gauss,0.5,53,0.03,0.1,right
0.1,gauss,0.5,53,0.03,0.55,right
0.1,gauss,0.5,53,0.03,1.0,right
0.1,gauss,0.5,54,0.01,0.1,right
0.1,gauss,0.5,54,0.01,0.55,right
0.1,gauss,0.5,54,0.01,1.0,right
0.1,gauss,0.5,54,0.019999999999999997,0.1,right
0.1,gauss,0.5,54,0.019999999999999997,0.55,right
0.1,gauss,0.5,54,0.019999999999999997,1.0,right
0.1,gauss,0.5,54,0.03,0.1,right
0.1,gauss,0.5,54,0.03,0.55,right
0.1,gauss,0.5,54,0.03,1.0,right
0.1,gauss,0.5,55,0.01,0.1,right
0.1,gauss,0.5,55,0.01,0.55,right
0.1,gauss,0.5,55,0.01,1.0,right
0.1,gauss,0.5,55,0.019999999999999997,0.1,right
0.1,gauss,0.5,55,0.019999999999999997,0.55,right
0.1,gauss,0.5,55,0.019999999999999997,1.0,right
0.1,gauss,0.5,55,0.03,0.1,right
0.1,gauss,0.5,55,0.03,0.55,right
0.1,gauss,0.5,55,0.03,1.0,right
0.1,gauss,0.5,56,0.01,0.1,right
0.1,gauss,0.5,56,0.01,0.55,right
0.1,gauss,0.5,56,0.01,1.0,right
0.1,gauss,0.5,56,0.019999999999999997,0.1,right
0.1,gauss,0.5,56,0.019999999999999997,0.55,right
0.1,gauss,0.5,56,0.019999999999999997,1.0,right
0.1,gauss,0.5,56,0.03,0.1,right
0.1,gauss,0.5,56,0.03,0.55,right
0.1,gauss,0.5,56,0.03,1.0,right
0.1,gauss,0.5,57,0.01,0.1,right
0.1,gauss,0.5,57,0.01,0.55,right
0.1,gauss,0.5,57,0.01,1.0,right
0.1,gauss,0.5,57,0.019999999999999997,0.1,right
0.1,gauss,0.5,57,0.019999999999999997,0.55,right
0.1,gauss,0.5,57,0.019999999999999997,1.0,right
0.1,gauss,0.5,57,0.03,0.1,right
0.1,gauss,0.5,57,0.03,0.55,right
0.1,gauss,0.5,57,0.03,1.0,right
0.1,gauss,0.5,58,0.01,0.1,right
0.1,gauss,0.5,58,0.01,0.55,right
0.1,gauss,0.5,58,0.01,1.0,right
0.1,gauss,0.5,58,0.019999999999999997,0.1,right
0.1,gauss,0.5,58,0.019999999999999997,0.55,right
0.1,gauss,0.5,58,0.019999999999999997,1.0,right
0.1,gauss,0.5,58,0.03,0.1,right
0.1,gauss,0.5,58,0.03,0.55,right
0.1,gauss,0.5,58,0.03,1.0,right
0.1,gauss,0.5,59,0.01,0.1,right
0.1,gauss,0.5,59,0.01,0.55,right
0.1,gauss,0.5,59,0.01,1.0,right
0.1,gauss,0.5,59,0.019999999999999997,0.1,right
0.1,gauss,0.5,59,0.019999999999999997,0.55,right
0.1,gauss,0.5,59,0.019999999999999997,1.0,right
0.1,gauss,0.5,59,0.03,0.1,right
0.1,gauss,0.5,59,0.03,0.55,right
0.1,gauss,0.5,59,0.03,1.0,right
0.1,gauss,0.5,60,0.01,0.1,right
0.1,gauss,0.5,60,0.01,0.55,right
0.1,gauss,0.5,60,0.01,1.0,right
0.1,gauss,0.5,60,0.019999999999999997,0.1,right
0.1,gauss,0.5,60,0.019999999999999997,0.55,right
0.1,gauss,0.5,60,0.019999999999999997,1.0,right
0.1,gauss,0.5,60,0.03,0.1,right
0.1,gauss,0.5,60,0.03,0.55,right
0.1,gauss,0.5,60,0.03,1.0,right
0.1,gauss,0.5,61,0.01,0.1,right
0.1,gauss,0.5,61,0.01,0.55,right
0.1,gauss,0.5,61,0.01,1.0,right
0.1,gauss,0.5,61,0.019999999999999997,0.1,right
0.1,gauss,0.5,61,0.019999999999999997,0.55,right
0.1,gauss,0.5,61,0.019999999999999997,1.0,right
0.1,gauss,0.5,61,0.03,0.1,right
0.1,gauss,0.5,61,0.03,0.55,right
0.1,gauss,0.5,61,0.03,1.0,right
0.1,gauss,0.5,62,0.01,0.1,right
0.1,gauss,0.5,62,0.01,0.55,right
0.1,gauss,0.5,62,0.01,1.0,right
